Country Name,Country Code,Region,"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)","Annualized growth in per capita real survey mean consumption or income, top 10% (%)","Annualized growth in per capita real survey mean consumption or income, top 60% (%)","Annualized growth in per capita real survey mean consumption or income, total population (%)",GINI index (World Bank estimate),Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change),Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change),Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change),Income share held by fourth 20%,Income share held by highest 10%,Income share held by highest 20%,Income share held by lowest 10%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,Number of poor at $1.90 a day (2011 PPP) (millions),Number of poor at $3.20 a day (2011 PPP) (millions),Number of poor at $5.50 a day (2011 PPP) (millions),"Population, total",Poverty gap at $1.90 a day (2011 PPP) (%),Poverty gap at $3.20 a day (2011 PPP) (% of population),Poverty gap at $5.50 a day (2011 PPP) (% of population),Poverty gap at national poverty lines (%),"Poverty gap at national poverty lines (%), including noncomparable values",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values",Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change),Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change),Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change),Rural poverty gap at national poverty lines (%),"Rural poverty gap at national poverty lines (%), including noncomparable values",Rural poverty headcount ratio at national poverty lines (% of rural population),"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values","Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day)","Survey mean consumption or income per capita, top 10% (2011 PPP $ per day)","Survey mean consumption or income per capita, top 60% (2011 PPP $ per day)","Survey mean consumption or income per capita, total population (2011 PPP $ per day)",Urban poverty gap at national poverty lines (%),"Urban poverty gap at national poverty lines (%), including noncomparable values",Urban poverty headcount ratio at national poverty lines (% of urban population),"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values"
Senegal,SEN,Sub-Saharan Africa,0,0,0,0,40.3,0,0,0,21.7,31,46.9,2.3,6.1,10.3,15,5.1,9,11.7,14976994,12.8,29.6,50.5,14.5,14.5,38,67.5,88.1,46.7,46.7,0,0,0,18.6,18.6,57.1,57.1,0,0,0,0,9.2,9.2,33.1,33.1
Serbia,SRB,Southern Europe,-1.7,-2.45,-1.36,-0.88,28.5,0,0,0,22.5,23.1,37.7,3.7,9,13.5,17.3,0,0.1,0.5,7095383,0,0.2,1.6,0,0,0.1,1.1,7.4,25.5,25.5,0,0,0,0,0,0,13.6,4.45,32.8,16.48,11.72,0,0,0,5.7
Seychelles,SYC,Sub-Saharan Africa,0,0,0,0,46.8,0,0,0,18.4,39.9,53,1.9,5.4,9.8,13.3,0,0,0,93419,0.4,0.9,2.4,12.6,12.6,1.1,2.5,6.6,39.3,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,SLE,Sub-Saharan Africa,0,0,0,0,34,0,0,0,21.9,26.9,42.4,3.3,7.9,11.9,15.8,3.5,5.4,6.3,7237025,16.7,38,59.6,16.1,16.1,52.2,81.3,94.7,52.9,52.9,0,0,0,21.1,21.1,66.1,66.1,0,0,0,0,7.7,7.7,31.2,31.2
Slovak Republic,SVK,Eastern Europe,-0.62,-1.94,-0.54,-0.61,26.5,0,0,0,23.2,20.9,35,3.1,8.5,14.6,18.7,0,0.1,0.2,5423801,0.3,0.5,1,0,0,0.7,1,3,12.6,12.6,0,0,0,0,0,0,0,12.77,44.33,28.02,22.25,0,0,0,0
Slovenia,SVN,Southern Europe,-0.78,-0.09,-0.5,-0.56,25.4,0,0,0,22.6,21,35.1,3.9,9.6,14.5,18.2,0,0,0,2063531,0,0,0,0,0,0,0,0.2,14.3,14.3,0,0,0,0,0,0,0,20.31,71.13,42.57,33.74,0,0,0,0
Solomon Islands,SLB,Central & Eastern Asia,0,0,0,0,37.1,0,0,0,21.5,29.2,44.6,2.8,7,11.4,15.5,0.1,0.3,0.5,587482,6.8,21.4,43.5,3.2,3.2,25.1,58.8,84.7,12.7,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,Sub-Saharan Africa,-1.55,-1.68,-1.31,-1.43,63,77.39,134.02,215.67,16.5,50.5,68.2,0.9,2.4,4.8,8.2,10.4,20.7,31.4,55291225,6.2,15.2,29.2,0,0,18.9,37.6,57.1,55.5,55.5,22.61,-34.02,-115.67,0,0,0,0,1.99,56.21,17.23,11.11,0,0,0,0
South Sudan,SSD,Sub-Saharan Africa,0,0,0,0,46.3,0,0,0,22.8,33.2,50.6,1.3,3.9,8.6,14.2,4.1,6.3,8.2,11882136,18.9,33.3,51.3,23.7,23.7,42.7,64.8,84.8,50.6,50.6,0,0,0,26.5,26.5,55.4,55.4,0,0,0,0,8.8,8.8,24.4,24.4
Spain,ESP,Southern Europe,-2.16,-3.17,-3.02,-1.53,36.2,0,0,0,23.5,26.2,42.1,1.9,5.8,11.7,17,0.5,0.7,1.5,46444832,0.6,0.9,1.5,0,0,1,1.5,3.2,0,0,0,0,0,0,0,0,0,15.9,92.53,48.88,36.58,0,0,0,0
Sri Lanka,LKA,Southern Asia,0,6.4,4.27,0,39.2,105.11,113.18,102.86,20.5,32.2,47,3,7.1,10.8,14.5,0.4,3.3,10.4,20966000,0.3,3.4,16.3,1.2,1.2,1.9,16.1,51,6.7,6.7,-5.11,-13.18,-2.86,1.4,1.4,7.6,7.6,3.37,24.18,10.26,7.51,0.3,0.3,2.1,2.1
St. Lucia,LCA,Latin America and the Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,Northern Africa,0,0,0,0,35.4,0,0,0,22.9,26.7,42.4,2.6,6.8,11.7,16.3,5,13.6,24.6,38647803,4,13.6,32.6,16.2,16.2,14.9,40.5,73.2,46.5,46.5,0,0,0,21.3,21.3,57.6,57.6,0,0,0,0,7.1,7.1,26.5,26.5
Suriname,SUR,Latin America and the Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,SWZ,Sub-Saharan Africa,0,0,0,0,51.5,0,0,0,19.9,40,56.7,1.5,4,7.5,11.8,0.5,0.8,1,1319011,16.6,32.1,49.7,30.4,30.4,42,64.4,82,63,63,0,0,0,36.9,36.9,73.1,73.1,0,0,0,0,10.3,10.3,31.1,31.1
Sweden,SWE,Northern Europe,0.62,2.43,2.07,1.91,29.2,0,0,0,22.8,22.9,37.6,3,8.2,13.9,17.6,0,0.1,0.1,9799186,0.3,0.4,0.6,0,0,0.5,0.7,1,0,0,0,0,0,0,0,0,0,29.49,115.53,68.43,53.85,0,0,0,0
Switzerland,CHE,Western Europe,1.22,0.06,0.47,0.99,32.5,0,0,0,22.5,25.5,40.5,3.2,7.8,12.5,16.6,0,0,0,8282396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,168.19,87.49,66.64,0,0,0,0
Syrian Arab Republic,SYR,Western Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18734987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,TJK,Central & Eastern Asia,2.3,5.09,3.96,3.58,34,0,168.95,118.21,22.4,26.4,41.7,3,7.4,12,16.4,0.4,1.7,4.6,8548651,1,5.3,18.9,0,0,4.8,20.3,54.2,31.3,31.3,0,-68.95,-18.21,0,0,35.2,35.2,3.08,16.75,8.52,6.34,0,0,23.2,23.2
Tanzania,TZA,Sub-Saharan Africa,0,0.14,0.41,0,37.8,0,0,0,20.7,31,45.8,3.1,7.4,11.1,14.9,24.1,38.8,45.7,53879957,15.4,36.3,57.8,6.7,6.7,49.1,79,93.1,28.2,28.2,0,0,0,7.8,7.8,33.3,33.3,0,8.01,3.52,0,3.9,3.9,15.5,15.5
Thailand,THA,Central & Eastern Asia,4.81,2.31,3.22,3.49,37.8,0,0,0,22.1,29.2,45.1,2.9,6.9,10.8,15.1,0,0.7,7.9,68657600,0,0.1,2.3,0,0,0,1.1,11.6,10.5,10.5,0,0,0,0,0,13.9,13.9,6.54,43.16,20.25,14.77,0,0,7.7,7.7
Timor-Leste,TLS,Central & Eastern Asia,0,0,0,0,28.7,0,0,0,21.8,24,38.4,4,9.4,13.4,16.9,0.4,0.9,1.1,1240977,6.7,26.2,51.4,10.4,10.4,30.3,73.2,94,41.8,41.8,0,0,0,12.2,12.2,47.1,47.1,0,0,0,0,5.9,5.9,28.3,28.3
Togo,TGO,Sub-Saharan Africa,2.76,-1.42,0.51,0.82,43.1,37.53,45.42,0,22.4,31.6,48.6,1.9,5,9.5,14.4,3.6,5.4,6.7,7416802,19.9,37.1,56.2,22.1,22.1,49.2,73.2,90.1,55.1,55.1,62.47,54.58,0,29.2,29.2,68.7,68.7,0.99,8.56,3.86,2.71,12.4,12.4,35.9,35.9
Tonga,TON,Central & Eastern Asia,0,0,0,0,37.5,0,0,0,22.1,28.9,44.6,2.7,6.7,11,15.5,0,0,0,106364,0.3,1.9,9.2,0,0,1.1,8.9,31.9,22.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
